n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
100,97,7,0.9840956222138764,0.9672781025330914,0.998679846119553,0.9960821350415614,0.9568661592431164
150,97,7,0.9842589115135285,0.9676140563058523,0.9987230112375471,0.9962116608916091,0.9573099961601811
200,97,7,0.984291569373459,0.967696440564137,0.9987304130280563,0.9962418409223899,0.957404152271179
300,97,7,0.9844548586731111,0.9680193496371943,0.9987443797159807,0.9962731383797343,0.957843326953403
50,63,7,0.9862347120393201,0.9717427010357658,0.9988836472180397,0.9966323647723176,0.962701391060799
100,63,7,0.9867409088682418,0.9727936741941968,0.9989530848784689,0.9968419338753983,0.9640798011213446
150,63,7,0.9869205270978593,0.9731739174118357,0.9989962492768645,0.9970012450814023,0.9645719400221513
200,63,7,0.9868552113779984,0.9730435656163146,0.9990033948902961,0.9970217784646078,0.9643963496434165
300,63,7,0.9869531849577897,0.9732444831396712,0.9990061365607061,0.9970447871863529,0.9646620562932939
50,121,7,0.982283110987737,0.9634962823402752,0.998457137569615,0.9954052194079999,0.9519198827109633
100,121,7,0.9827729788866936,0.9644840935869382,0.9984986324994145,0.9955567668551285,0.95324608118546
150,121,7,0.9830015839062066,0.9649766174343102,0.9985253008210426,0.9956361059461573,0.9538747190563686
200,121,7,0.9830015839062066,0.9649671882887431,0.9985293075456738,0.995663088801687,0.9538718061405413
300,121,7,0.983099557485998,0.9651948750714598,0.9985364833822435,0.9956881934059596,0.9541465902845716
50,151,7,0.9811564148201368,0.9610792580101181,0.9982547655938147,0.9947569335603781,0.9488236947359374
100,151,7,0.9815319802093369,0.9618716920068773,0.9983334436190044,0.9950233437850822,0.9498516959532088
150,151,7,0.9816299537891282,0.9620637329286799,0.9983611841424465,0.9951258348265359,0.9501159386086958
200,151,7,0.9814666644894761,0.9617471605271141,0.9983620311099197,0.9951354044283727,0.9496766393838028
300,151,7,0.9814829934194412,0.9617950272892662,0.9983574112873388,0.9951366304467892,0.9497253031767752
50,188,7,0.979082640714554,0.9568352596286687,0.9979818801577782,0.9940389842746082,0.9431854188480565
100,188,7,0.9800297186525367,0.9587701850790548,0.9980602703435548,0.99429814682781,0.9457585711407244
150,188,7,0.9799644029326758,0.9586241780475467,0.9980979398875536,0.9944152140066628,0.9455770566052248
200,188,7,0.9799154161427802,0.9585104229912973,0.9980928249811819,0.9944137232045938,0.9454396796652905
300,188,7,0.9798827582828498,0.9584401565240859,0.9981016127184655,0.994441124510278,0.9453498174465864
50,235,7,0.9772048137685537,0.9527676275544729,0.9976849795599043,0.993174090050849,0.9380052339358556
100,235,7,0.9774660766479972,0.9532963313929876,0.9977813553914117,0.9934574664130755,0.9387156603144516
150,235,7,0.9778253131072321,0.9540750760906324,0.9978023388846301,0.9935257764258814,0.939705750735779
200,235,7,0.978119233846606,0.9546991210277215,0.9978163293193061,0.9935763695550673,0.9405123773011445
300,235,7,0.9782498652863277,0.9550030403351125,0.9978319690738195,0.9936295518150111,0.940878365196522
50,293,7,0.9757841968615797,0.9497271093935388,0.9973849631003833,0.9923225820006223,0.9340982329258767
100,293,7,0.9758658415114058,0.9498847144988471,0.9974795226651936,0.9926218770049884,0.9343187520868547
150,293,7,0.9760128018810927,0.9501881930080364,0.9975122197833302,0.9927028489941394,0.934720408923746
200,293,7,0.9761597622507797,0.9505017629509086,0.9975234685475961,0.9927336707877941,0.9351243420234145
300,293,7,0.9761924201107102,0.9505628645056287,0.99754085404815,0.9927905490049396,0.9352121731027391
50,366,7,0.9732858705769011,0.9443234413286142,0.9970850898409701,0.99147633112655,0.9272110258735436
100,366,7,0.9739390277755099,0.9456773315180395,0.9971838813647523,0.9917577521646921,0.9290012721727335
150,366,7,0.974020672425336,0.9458677826545541,0.9972238018129617,0.9918809193998779,0.929228662260854
200,366,7,0.974624842834049,0.9472110877097629,0.9972454185528892,0.9919459516838525,0.930900894308434
300,366,7,0.9745595271141883,0.9470716129908955,0.9972448371172745,0.9919528865873746,0.9307212295602368
50,457,7,0.9709998203817704,0.9394063459570112,0.9966495031766518,0.9902200695354961,0.9209082766955644
100,457,7,0.9717019643702748,0.9408714046879798,0.9967656780421925,0.9905580941868053,0.9228372712854318
150,457,7,0.9721101876194053,0.9417780201799837,0.9968221550134463,0.9907327069409014,0.9239676062800115
200,457,7,0.9720775297594748,0.9417257360959651,0.9968323416502776,0.9907631082029693,0.9238807638222177
300,457,7,0.9725184108685357,0.9426790640645755,0.9968704587845637,0.9908687306294078,0.9250971247360743
50,1391,7,0.9580346499893861,0.9104654403567447,0.994063348803349,0.983089879696613,0.8848708575170559
100,1391,7,0.9571692167012296,0.9083476012439289,0.9943115822328462,0.9837385471325111,0.8824489991365171
