ccp_alpha,depth,nodes,accuracy,f1,roc_auc,pr_auc,matthews
2.031482941917942e-06,38,8267,0.9880308943354942,0.975629218339595,0.9804608712843195,0.957933915621017,0.9676967481043038
2.0331777274645917e-06,38,8239,0.9880472232654595,0.9756616571352573,0.9804748386918425,0.9580298441802807,0.9677400974060294
2.03263132119545e-06,38,8247,0.9880308943354942,0.975629218339595,0.9804522260275456,0.9578840940376663,0.9676967481043038
2.0308790528151148e-06,38,8271,0.9880308943354942,0.975629218339595,0.980462976110028,0.9579509645161998,0.9676967481043038
2.0337067875029646e-06,38,8235,0.9880635521954246,0.975694098088113,0.9804874856360577,0.9581168128561298,0.9677834505322248
2.035665099286787e-06,38,8231,0.9880635521954246,0.975694098088113,0.9804849368180542,0.958096073946636,0.9677834505322248
2.0361186788543683e-06,38,8215,0.9880472232654595,0.9756600385715236,0.980476852848136,0.9580755005684588,0.9677386617080315
2.036226042043035e-06,38,8211,0.9880472232654595,0.9756600385715236,0.980476828381786,0.9580754328334401,0.9677386617080315
2.0378070028003517e-06,38,8183,0.9880635521954246,0.9756924816280385,0.9805289280351642,0.9581753693647242,0.9677820205074289
2.038582719207959e-06,38,8175,0.9880472232654595,0.975658419792498,0.9805391096348058,0.9582467178675615,0.9677372334018949
2.036559111188101e-06,38,8191,0.9880635521954246,0.9756924816280385,0.9805314689375838,0.9581960954458417,0.9677820205074289
2.036986959740872e-06,38,8187,0.9880635521954246,0.9756924816280385,0.9805298519996803,0.9581829088401862,0.9677820205074289
2.0393176084362275e-06,38,8163,0.9880635521954246,0.9756908649529447,0.980595914023392,0.9583368506018825,0.9677805978760011
2.0403501743139158e-06,38,8159,0.9880635521954246,0.9756908649529447,0.980594755469754,0.9583366196145789,0.9677805978760011
2.0389550630836128e-06,38,8167,0.9880635521954246,0.9756908649529447,0.9805977504388478,0.9583518716290863,0.9677805978760011
2.040996059142761e-06,38,8151,0.9881125389853203,0.975789823744596,0.9806698686038121,0.9585455678606045,0.9679121198648888
2.041307186590803e-06,38,8147,0.9881125389853203,0.975789823744596,0.980717866545553,0.9585912167506812,0.9679121198648888
2.041610816991896e-06,38,8135,0.9881288679152855,0.9758222754331703,0.9808172373461541,0.9589684361585517,0.9679554939725883
