Epoch 1
Batch 2900: 0.3862868547439575
Batch 3000: 0.30832841992378235
Batch 3100: 0.23287855088710785
Batch 3200: 0.2940412163734436
Batch 3300: 0.16528387367725372
Batch 3400: 0.16773754358291626
Batch 3500: 0.3396647572517395
Batch 3600: 0.2963812053203583
Batch 3700: 0.34341487288475037
Batch 3800: 0.2832601070404053
Batch 3900: 0.30787596106529236
Batch 4000: 0.36255204677581787
Batch 4100: 0.2423500418663025
Batch 4200: 0.41477400064468384
Batch 4300: 0.13677352666854858
Batch 4400: 0.2610817551612854
Batch 4500: 0.2115543931722641
Batch 4600: 0.3737388849258423
Batch 4700: 0.3626437187194824
Batch 4800: 0.31908339262008667
Batch 4900: 0.24623870849609375
Batch 5000: 0.20951183140277863
Batch 5100: 0.25752803683280945
Batch 5200: 0.24071887135505676
Batch 5300: 0.20191851258277893
Batch 5400: 0.2716081142425537
Batch 5500: 0.2926349639892578
Batch 5600: 0.24658222496509552
Batch 5700: 0.24681001901626587
Batch 5800: 0.24029693007469177
Batch 5900: 0.332354336977005
Batch 6000: 0.18534964323043823
Batch 6100: 0.14700934290885925
Batch 6200: 0.26761460304260254
Batch 6300: 0.4450037479400635
Batch 6400: 0.2458897829055786
Batch 6500: 0.3601366877555847
Batch 6600: 0.2958579659461975
Batch 6700: 0.12582866847515106
Batch 6800: 0.21838253736495972
Batch 6900: 0.29973164200782776
Batch 7000: 0.17091426253318787
Batch 7100: 0.29416510462760925
Batch 7200: 0.40333157777786255
Batch 7300: 0.3387954831123352
Batch 7400: 0.3522849380970001
Batch 7500: 0.3000337779521942
Batch 7600: 0.17885254323482513
Batch 7700: 0.24945178627967834
Batch 7800: 0.33196592330932617
Batch 7900: 0.26091015338897705
Batch 8000: 0.16010241210460663
Batch 8100: 0.2680167555809021
Batch 8200: 0.29741454124450684
Accuracy: 86.813, loss: 0.275
Epoch 3
Batch 0: 0.28351467847824097
Batch 100: 0.39767271280288696
Batch 200: 0.30838480591773987
Batch 300: 0.3045068085193634
Batch 400: 0.31114745140075684
Batch 500: 0.38905900716781616
Batch 600: 0.3082631826400757
Batch 700: 0.4529317319393158
Batch 800: 0.12401490658521652
Batch 900: 0.26352763175964355
Batch 1000: 0.20375549793243408
Batch 1100: 0.24855640530586243
Batch 1200: 0.27611392736434937
Batch 1300: 0.28588539361953735
Batch 1400: 0.18541620671749115
Batch 1500: 0.30273687839508057
Batch 1600: 0.26088112592697144
Batch 1700: 0.18995340168476105
Batch 1800: 0.2318752408027649
Batch 1900: 0.32721781730651855
Batch 2000: 0.26807546615600586
Batch 2100: 0.16915898025035858
Batch 2200: 0.2159312218427658
Batch 2300: 0.24721306562423706
Batch 2400: 0.2118399292230606
Batch 2500: 0.1769997775554657
Batch 2600: 0.30384504795074463
Batch 2700: 0.18670383095741272
Batch 2800: 0.17108112573623657
Batch 2900: 0.318637490272522
Batch 3000: 0.30199289321899414
Batch 3100: 0.2664552330970764
Batch 3200: 0.30266502499580383
Batch 3300: 0.16290973126888275
Batch 3400: 0.279549777507782
Batch 3500: 0.31842735409736633
Batch 3600: 0.3846466541290283
Batch 3700: 0.2568724453449249
Batch 3800: 0.3310296833515167
Batch 3900: 0.21713611483573914
Batch 4000: 0.3050551116466522
Batch 4100: 0.25413206219673157
Batch 4200: 0.25828075408935547
Batch 4300: 0.3316135108470917
Batch 4400: 0.2698776423931122
Batch 4500: 0.3505486249923706
Batch 4600: 0.23690912127494812
Batch 4700: 0.26788854598999023
Batch 4800: 0.2734187841415405
Batch 4900: 0.15780703723430634
Batch 5000: 0.3488141596317291
Batch 5100: 0.34084829688072205
Batch 5200: 0.3514321744441986
Batch 5300: 0.1498984843492508
Batch 5400: 0.38393691182136536
Batch 5500: 0.25842711329460144
Batch 5600: 0.3869321048259735
Batch 5700: 0.4259423315525055
Batch 5800: 0.26232895255088806
Batch 5900: 0.1485413908958435
Batch 6000: 0.296205073595047
Batch 6100: 0.23283028602600098
Batch 6200: 0.19163396954536438
Batch 6300: 0.3200165927410126
Batch 6400: 0.3556958734989166
Batch 6500: 0.1995217353105545
Batch 6600: 0.30055272579193115
Batch 6700: 0.15331992506980896
Batch 6800: 0.2867889702320099
Batch 6900: 0.27166062593460083
Batch 7000: 0.1563798040151596
Batch 7100: 0.18213321268558502
Batch 7200: 0.16870492696762085
Batch 7300: 0.39266103506088257
Batch 7400: 0.29398638010025024
Batch 7500: 0.2457275688648224
Batch 7600: 0.45604178309440613
Batch 7700: 0.3234637975692749
Batch 7800: 0.22143420577049255
Batch 7900: 0.2749936282634735
Batch 8000: 0.10287748277187347
Batch 8100: 0.323330283164978
Batch 8200: 0.3224465250968933
Accuracy: 86.651, loss: 0.263
Epoch 4
Batch 0: 0.19908636808395386
Batch 100: 0.44846171140670776
Batch 200: 0.22624769806861877
Batch 300: 0.4278629720211029
Batch 400: 0.28828150033950806
Batch 500: 0.37843382358551025
Batch 600: 0.28174740076065063
Batch 700: 0.21431414783000946
Batch 800: 0.248949334025383
Batch 900: 0.2164163738489151
Batch 1000: 0.22479233145713806
Batch 1100: 0.2735993266105652
Batch 1200: 0.30315741896629333
Batch 1300: 0.2623945474624634
Batch 1400: 0.6052194833755493
Batch 1500: 0.15771299600601196
Batch 1600: 0.23723457753658295
Batch 1700: 0.26337188482284546
Batch 1800: 0.35401636362075806
Batch 1900: 0.40302449464797974
Batch 2000: 0.27743905782699585
Batch 2100: 0.2534588575363159
Batch 2200: 0.16811156272888184
Batch 2300: 0.2307162880897522
Batch 2400: 0.2958490252494812
Batch 2500: 0.31842708587646484
Batch 2600: 0.16251865029335022
Batch 2700: 0.38920122385025024
Batch 2800: 0.24306422472000122
Batch 2900: 0.2534751296043396
Batch 3000: 0.17945611476898193
Batch 3100: 0.2553054094314575
Batch 3200: 0.24194632470607758
Batch 3300: 0.3226449489593506
Batch 3400: 0.2785525619983673
Batch 3500: 0.16602495312690735
Batch 3600: 0.13638757169246674
Batch 3700: 0.1283254623413086
Batch 3800: 0.32182976603507996
Batch 3900: 0.19072368741035461
Batch 4000: 0.2210932970046997
Batch 4100: 0.35817986726760864
Batch 4200: 0.15194402635097504
Batch 4300: 0.18292367458343506
Batch 4400: 0.33252090215682983
Batch 4500: 0.19992706179618835
Batch 4600: 0.2556701898574829
Batch 4700: 0.5088030099868774
Batch 4800: 0.23888307809829712
Batch 4900: 0.2039041668176651
Batch 5000: 0.35154974460601807
Batch 5100: 0.18537789583206177
Batch 5200: 0.21168093383312225
